id,highway,name,oneway,lit,lanes,maxspeed,railway,boundary,access,natural,barrier,tunnel,bridge,incline,waterway,busway,toll
32069332,residential,Μουρκούση,no,,,,,,,,,,,,,,
32069335,residential,Ηπιόνης,,,,,,,,,,,,,,,
32069338,residential,Ολόρου,yes,,1,,,,,,,,,,,,
32069340,residential,Δήλου,yes,,1,,,,,,,,,,,,
32069348,residential,Υπολοχαγ�,yes,,1,,,,,,,,,,,,
32069365,residential,,yes,,1,,,,,,,,,,,,
32069384,residential,Ηγημόνος,yes,,1,,,,,,,,,,,,
32069393,residential,Κοτοπού�,yes,,1,,,,,,,,,,,,
32069394,residential,Κλεοβούλης,yes,,1,,,,,,,,,,,,
32069407,residential,Λοχαγ�,yes,,1,,,,,,,,,,,,
32069409,residential,Παιανίας,yes,,1,,,,,,,,,,,,
32069410,residential,Γαίου,yes,,1,,,,,,,,,,,,
32069414,residential,Πολυφήμου,yes,,1,,,,,,,,,,,,
32069422,residential,Ξενοφρόνος,yes,,1,,,,,,,,,,,,
32069459,residential,Θεοδάμαντος,,,1,,,,,,,,,,,,
32069472,residential,Ζηνοδότου,yes,,1,,,,,,,,,,,,
32069511,residential,Ευρυνόμης,yes,,1,,,,,,,,,,,,
32069572,residential,Καλλιστράτους,yes,,1,,,,,,,,,,,,
32069588,residential,Αδελφ�,yes,,1,,,,,,,,,,,,
32069613,residential,Αδελφ�,yes,,1,,,,,,,,,,,,
32069621,residential,Αγί�,yes,,1,,,,,,,,,,,,
32069627,residential,Τιμάνδρας,yes,,1,,,,,,,,,,,,
32069632,residential,Θεοδάμαντος,,,,,,,,,,,,,,,
32069646,residential,Αμμοχώστου,yes,,1,,,,,,,,,,,,
32069649,residential,Πεισάνδρου,yes,,,,,,,,,,,,,,
32069650,residential,Σπανοβαγγέλη,yes,,1,,,,,,,,,,,,
32069652,residential,,yes,,1,,,,,,,,,,,,
32069653,residential,Χρυσίππου,yes,,1,,,,,,,,,,,,
32069659,residential,Δημοκρατίας,yes,,1,,,,,,,,,,,,
32069662,residential,Γαλήνης,yes,,1,,,,,,,,,,,,
32069685,residential,Γουναροπούλου,yes,,1,,,,,,,,,,,,
32069702,residential,Φρυγίας,yes,,1,,,,,,,,,,,,
32069707,residential,Ξενάρχου,yes,,1,,,,,,,,,,,,
32069708,residential,Κασπίας,yes,,1,,,,,,,,,,,,
32069710,residential,Ταξίλου,yes,,,,,,,,,,,,,,
32069726,residential,Στρα�,yes,,1,,,,,,,,,,,,
32069731,residential,Γάζης,yes,,1,,,,,,,,,,,,
32069746,residential,Σπανοβαγγέλη,,,,,,,,,,,,,,,
32069751,residential,Παπακωνσταντίνου,yes,,1,,,,,,,,,,,,
32069752,residential,Γαυγάμηλων,yes,,1,,,,,,,,,,,,
32069763,residential,Περσεπόλεως,yes,,1,,,,,,,,,,,,
32069768,residential,Γρηγορί�,yes,,2,,,,,,,,,,,,
32109521,residential,Επα,yes,,,,,,,,,,,,,,
32109533,residential,Υδάσπου,yes,,1,,,,,,,,,,,,
32109537,residential,Ινδού,no,,,,,,,,,,,,,,
32109544,residential,Εκβατάνων,yes,,1,,,,,,,,,,,,
32109560,residential,Ταξίλου,yes,,1,,,,,,,,,,,,
32109564,residential,Μιχα�,yes,,1,,,,,,,,,,,,
32109578,residential,Βερ�,yes,,1,,,,,,,,,,,,
32109600,residential,Νείλου,yes,,1,,,,,,,,,,,,
32109604,residential,Τίγρητος,no,,2,,,,,,,,,,,,
32109738,tertiary,Γεωργί�,yes,,1,,,,,,,,,,,,
32110065,tertiary,Αγί�,yes,,1,,,,,,,,,,,,
32110074,residential,Ελευθερί�,yes,,1,,,,,,,,,,,,
32110265,residential,Κονίτσης,yes,,1,,,,,,,,,,,,
32110268,pedestrian,,,,,,,,,,,,,,,,
32110280,pedestrian,,,,,,,,,,,,,,,,
32110281,residential,Δίκης,yes,,1,,,,,,,,,,,,
32110293,residential,Πλατε�,yes,,1,,,,,,,,,,,,
32110297,residential,Ξυλού�,yes,,1,,,,,,,,,,,,
32110606,residential,Πυρ�,yes,,1,,,,,,,,,,,,
32110608,residential,Εύηνου,yes,,1,,,,,,,,,,,,
32110615,residential,Ευρώτα,yes,,1,,,,,,,,,,,,
32110626,residential,Τιμολέοντ�,yes,,1,,,,,,,,,,,,
32110629,residential,Χατζηκώστα,yes,,,,,,,,,,,,,,
32110634,tertiary,,yes,,2,,,,,,,,,,,,
32110635,residential,Φιλήμον�,yes,,,,,,,,,,,,,,
32110651,residential,Άλδ�,yes,,,,,,,,,,,,,,
32111448,residential,Τετραπόλεως,yes,,1,,,,,,,,,,,,
32111456,residential,Λεβαδείας,no,,1,,,,,,,,,,,,
32111473,tertiary,Φωκίδος,yes,,2,,,,,,,,,,,,
32111475,pedestrian,Κορωπίου,,,,,,,,,,,,,,,
32111478,residential,Καρυοφύλλη,yes,,1,,,,,,,,,,,,
32111491,residential,Διονυσί�,yes,,1,,,,,,,,,,,,
32226416,,,,,,,,,,,,,,,,,
32226422,path,,,,,,,,,,,,,,,,
32226425,footway,,,,,,,,,,,,,,,,
32226433,footway,,,,,,,,,,,,,,,,
32236816,,,,,,,,,,,,,,,,,
32258722,primary_link,,yes,yes,2,50,,,,,,,,,,,
32259058,secondary,Ζαχάρωφ,yes,yes,2,,,,,,,,,,,,
32259115,primary,Φειδιππίδου,yes,yes,4,,,,,,,,,,,,
32260836,,,,,,,,,,,,,,,,,
32260844,,Βί�,,,,,,,,,,,,,,,
32296046,primary_link,,yes,yes,2,,,,,,,,,,,,
32296065,primary,Βασιλίσσ�,yes,yes,4,,,,,,,,,,,,
32296326,residential,Πλατε�,yes,,,,,,,,,,,,,,
32296707,,Προεδρι�,,,,,,,,,,,,,,,
32296751,,,,,,,,,,,,,,,,,
32296793,residential,Λυκείου,yes,,,,,,,,,,,,,,
32296802,residential,Μουρούζη,yes,,,,,,,,,,,,,,
32297021,,Πάρ�,,,,,,,,,,,,,,,
32297072,,Μέγα�,,,,,,,,,,,,,,,
32297119,,Νοσηλευτι�,,,,,,,,,,,,,,,
32297431,,,,,,,,,,,,,,,,,
33854005,service,Μαικήνα,no,,,,,,,,,,,,,,
33854014,residential,Ρή�,yes,,1,,,,,,,,,,,,
33854019,residential,Ιάσων�,yes,,1,,,,,,,,,,,,
33854021,residential,Γρηγορί�,yes,,1,,,,,,,,,,,,
33854089,tertiary,Εθνικ�,no,,2,,,,,,,,,,,,
33854300,service,,,,,,,,,,,,,,,,
33854305,service,,,,,,,,,,,,,,,,
33878221,residential,Πελοποννήσου,yes,,1,,,,,,,,,,,,
33878224,residential,Κρατερού,yes,,1,,,,,,,,,,,,
33878245,residential,Πλατε�,,,1,,,,,,,,,,,,
33878268,residential,Δημήτρι�,no,,1,,,,,,,,,,,,
33878464,residential,Γεροστάθη,yes,,,,,,,,,,,,,,
33878465,residential,Κοτυαίου,yes,,,,,,,,,,,,,,
33878477,residential,Συήνης,,,,,,,,,,,,,,,
33878478,residential,Ωρολογά,yes,,,,,,,,,,,,,,
33878490,residential,Παπ�,,,,,,,,,,,,,,,
33878518,residential,Πικανίδη,yes,,,,,,,,,,,,,,
33878524,pedestrian,,,,,,,,,,,,,,,,
33878525,tertiary,Κλεομένους,yes,,2,,,,,,,,,,,,
33878526,tertiary,Κλεομένους,yes,,2,,,,,,,,,,,,
33878542,residential,Πιτανης,yes,,,,,,,,,,,,,,
33878572,residential,Παπαδόπουλ�,yes,,,,,,,,,,,,,,
33878589,residential,Μελ�,yes,,,,,,,,,,,,,,
33878610,residential,Τιμολέοντ�,,,,,,,,,,,,,,,
33878638,residential,Παστέρ,,,,,,,,,,,,,,,
33878643,residential,Δημητρί�,,,,,,,,,,,,,,,
33878658,residential,,,,,,,,,,,,,,,,
33878659,service,,,,,,,,,,,,,,,,
40560443,residential,Καλλιδρομίου,yes,yes,,,,,,,,,,,,,
45262761,secondary,Μιχαλακοπούλου,yes,yes,2,,,,,,,,,,,,
45262899,residential,Σειλιστρίας,yes,,,,,,,,,,,,,,
45263288,residential,Αρβηλών,yes,,1,,,,,,,,,,,,
45263367,tertiary,Στρατάρχ�,yes,,1,50,,,,,,,,,,,
45263368,tertiary,Στρατάρχ�,yes,,1,50,,,,,,,,,,,
45263598,residential,Μελησάνδρου,no,,2,,,,,,,,,,,,
45263599,residential,,yes,,1,,,,,,,,,,,,
45265076,residential,Γκανογιάννη,yes,,1,,,,,,,,,,,,
46938927,residential,Μαυρομιχάλη,yes,,,,,,,,,,,,,,
49288908,secondary,Σόλωνος,yes,,2,,,,,,,,,,,,
50033294,tertiary,Πλατε�,yes,,2,,,,,,,,,,,,
50033410,tertiary,Δεινοκράτους,,,2,,,,,,,,,,,,
50033422,tertiary,Ευέλπιδ�,no,,2,30,,,,,,,,,,,
50033481,tertiary,Ιωάνν�,yes,,1,,,,,,,,,,,,
50033502,tertiary,Παπαδιαμαντοπούλου,yes,,1,40,,administrative,,,,,,,,,
50033528,residential,Παπαδιαμαντοπούλου,,,2,,,administrative,,,,,,,,,
50239780,residential,Νεοφύτ�,yes,,,,,,,,,,,,,,
50239829,residential,Ξανθίππου,yes,yes,,,,,,,,,,,,,
50239848,tertiary,Σουηδίας,yes,,2,30,,,,,,,,,,,
51249449,pedestrian,Ρώμα,,,,,,,,,,,,,,,
51249532,residential,Ίλυ�,no,,,,,,,,,,,,,,
51249544,residential,Δημάκη,yes,,,,,,,,,,,,,,
51249546,residential,Δημάκη,yes,,,,,,,,,,,,,,
51249569,steps,Οίτης,no,,,,,,,,,,,,,,
51249660,residential,Σγουρ�,yes,,,,,,,,,,,,,,
51249696,residential,Πατριάρχ�,yes,,,,,,,,,,,,,,
51249737,residential,Νικηφόρ�,yes,,,,,,,,,,,,,,
51249742,residential,Νικηφόρ�,yes,,,,,,,,,,,,,,
51249775,steps,Χρύσανθ�,,,,,,,,,,,,,,,
51249907,residential,Δαφνομήλη,yes,,,,,,,,,,,,,,
51830816,residential,Στησιχόρου,yes,,,,,,,,,,,,,,
51830879,residential,Φωκιανού,yes,,,,,,,,,,,,,,
51830956,residential,Παυσανίου,yes,,,,,,,,,,,,,,
51831367,residential,Πολέμωνος,yes,,,,,,,,,,,,,,
51831417,footway,Νικάνδρου,,,,,,,,,,,,,,,
52493099,tertiary,Δημητρί�,yes,,1,,,,,,,,,,,,
52493100,tertiary,Δορυλαίου,yes,,2,,,,,,,,,,,,
52493102,tertiary,Δημητρί�,yes,,2,,,,,,,,,,,,
52493488,residential,Υψηλάντου,yes,,,,,,,,,,,,,,
52493490,residential,Γενναδί�,,,,,,,,,,,,,,,
52493494,tertiary,Μαρασλή,yes,,1,30,,,,,,,,,,,
52493497,primary,Βασιλίσσ�,yes,yes,2,30,,,yes,,,,,,,,
52493502,primary_link,,yes,yes,2,30,,,,,,,,,,,
52493503,residential,Υψηλάντου,yes,,,,,,,,,,,,,,
52493580,,,,,,,,,,,,,,,,,
52493581,residential,Μιμνέρμου,yes,,,,,,,,,,,,,,
60438321,,ΕΘΝΙ�,,,,,,,,,,,,,,,
60958842,residential,Σμολένσκυ,yes,,,,,,,,,,,,,,
60958845,residential,Τσιμισκή,yes,,,,,,,,,,,,,,
62328855,residential,Λουκιανού,,,,,,,,,,,,,,,
62328857,steps,Πλούταρχου,,,,,,,,,,,,,,,
62329528,steps,,,,,,,,,,,,,,,,
62329529,steps,Λουκιανού,,,,,,,,,,,,,,,
62329926,steps,,,yes,,,,,,,,,,,,,
62329931,footway,,,yes,,,,,,,,,,,,,
62330296,steps,,,,,,,,,,,,,,,,
62330297,footway,,,,,,,,,,,,,,,,
62330298,footway,,,,,,,,,,,,,,,,
62330310,service,,,,,,,,,,,,,,,,
62330706,unclassified,,,,2,,,,,,,,,up,,,
62330708,unclassified,,no,,1,,,,,,,,,,,,
62330709,path,,,,,,,,,,,,,,,,
62330906,path,,,,,,,,,,,,,,,,
62330907,steps,,,,,,,,,,,,,,,,
62330908,path,,,,,,,,,,,,yes,,,,
62330909,steps,,,,,,,,,,,,,,,,
62330910,path,,,,,,,,,,,,,,,,
62330965,path,,,,,,,,,,,,,,,,
62330966,path,,,,,,,,,,,,,,,,
62330967,steps,,,,,,,,,,,,,,,,
62330968,path,,,,,,,,,,,,,,,,
62331206,path,,,,,,,,,,,,,,,,
62331208,path,,,,,,,,,,,,,,,,
62331209,steps,,,,,,,,,,,,,,,,
62331210,footway,,,,,,,,,,,,,,,,
62331211,path,,,,,,,,,,,,,,,,
62331212,path,,,,,,,,,,,,,,,,
62331337,path,,,,,,,,,,,,,,,,
62941134,,,,,,,,,,water,,,,,,,
62941136,,,,,,,,,,water,,,,,,,
62941218,,Ani,,,,,,,,,,,,,,,
62941465,footway,,,,,,,,,,,,,,,,
62941467,footway,,,,,,,,,,,,,,,,
62941468,footway,,,,,,,,,,,,,,,,
62941473,footway,,,,,,,,,,,,,,,,
63105591,residential,Σουφλίου,yes,,,,,,,,,,,,,,
63122294,tertiary,Κόνια�,yes,,2,,,,,,,,,,,,
63174294,,,,,,,,,,,,,,,,,
63177054,tertiary_link,,yes,,1,,,,,,,,,,,,
63177063,,,,,,,,,,,,,,,,,
63177070,,,,,,,,,,,,,,,,,
64737552,steps,,,yes,,,,,,,,,,,,,
